Name,Rk,Uni,Birth,Unnamed: 4,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
Will Warren,1,98.0,us US,Pitcher,*,,26,R,R,"6' 2""",200,Jun 16 1999,2018,warrewi01
Ryan Weathers,2,40.0,us US,Pitcher,*,,25,R,L,"6' 1""",230,Dec 17 1999,2018,weathry01
Angel Chivilli,3,57.0,do DO,Pitcher,*,,22,R,R,"6' 2""",162,Jul 28 2002,2019,chivian01
Osvaldo Bido,4,56.0,do DO,Pitcher,*,,29,R,R,"6' 3""",175,Oct 18 1995,2017,bidoos01
David Bednar,5,53.0,us US,Pitcher,*,,30,L,R,"6' 1""",250,Oct 10 1994,2014,bednada01
Cade Winquest,6,80.0,us US,Pitcher,*,,25,R,R,"6' 2""",205,Apr 30 2000,2019,redirect.fcgi?player=1&mlb_ID=685464
Camilo Doval,7,75.0,do DO,Pitcher,*,,27,R,R,"6' 2""",205,Jul 4 1997,2016,dovalca01
Fernando Cruz,8,63.0,pr PR,Pitcher,*,,35,S,R,"6' 2""",237,Mar 28 1990,2007,cruzfe01
Brent Headrick,9,47.0,us US,Pitcher,*,,27,L,L,"6' 6""",235,Dec 17 1997,2017,headrbr01
Kervin Castro,10,74.0,ve VE,Pitcher,*,,26,R,R,"6' 0""",185,Feb 7 1999,2016,castrke01
Luis Gil,11,81.0,do DO,Pitcher,*,,27,R,R,"6' 2""",185,Jun 3 1998,2015,gillu01
Yerry De los Santos,12,73.0,do DO,Pitcher,*,,27,R,R,"6' 2""",210,Dec 12 1997,2015,delosye01
Tim Hill,13,41.0,us US,Pitcher,*,,35,R,L,"6' 4""",210,Feb 10 1990,2014,hillti01
Clarke Schmidt,14,36.0,us US,Pitcher,*,,29,R,R,"6' 1""",200,Feb 20 1996,2015,schmicl01
Jake Bird,15,59.0,us US,Pitcher,*,,29,R,R,"6' 3""",200,Dec 4 1995,2015,birdja01
Ryan Yarbrough,16,33.0,us US,Pitcher,*,,33,R,L,"6' 5""",215,Dec 31 1991,2013,yarbrry01
Cam Schlittler,17,31.0,us US,Pitcher,*,,24,R,R,"6' 6""",225,Feb 5 2001,2019,schlica01
Chase Hampton,18,86.0,us US,Pitcher,*,,23,R,R,"6' 3""",220,Aug 7 2001,2021,redirect.fcgi?player=1&mlb_ID=694633
Elmer Rodriguez,19,76.0,pr PR,Pitcher,*,,21,L,R,"6' 3""",160,Aug 18 2003,2022,redirect.fcgi?player=1&mlb_ID=695684
Paul Blackburn,20,58.0,us US,Pitcher,*,,31,R,R,"6' 1""",196,Dec 4 1993,2012,blackpa01
Max Fried,21,54.0,us US,Pitcher,*,,31,L,L,"6' 4""",190,Jan 18 1994,2012,friedma01
Carlos Rodón,22,55.0,us US,Pitcher,*,,32,L,L,"6' 2""",255,Dec 10 1992,2012,rodonca01
Gerrit Cole,23,45.0,us US,Pitcher,*,,34,R,R,"6' 4""",220,Sep 8 1990,2011,colege01
Yanquiel Fernández,24,88.0,cu CU,Position,*,,22,L,L,"6' 2""",198,Jan 1 2003,2021,fernaya01
Jasson Domínguez,25,24.0,do DO,Position,*,,22,S,R,"5' 9""",218,Feb 7 2003,2021,dominja01
Ben Rice,26,22.0,us US,Position,*,,26,L,R,"6' 2""",228,Feb 22 1999,2019,ricebe01
Jazz Chisholm Jr.,27,13.0,bs BS,Position,*,,27,L,R,"5' 11""",184,Feb 1 1998,2016,chishja01
Anthony Volpe,28,11.0,us US,Position,*,,24,R,R,"5' 10""",197,Apr 28 2001,2019,volpean01
Spencer Jones,29,78.0,us US,Position,*,,24,L,L,"6' 7""",240,May 14 2001,2020,redirect.fcgi?player=1&mlb_ID=682987
